Id,LotArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,SalePrice
1,8450,1,0,2,1,3,208500
2,9600,0,1,2,0,3,181500
3,11250,1,0,2,1,3,223500
4,9550,1,0,1,0,3,140000
5,14260,1,0,2,1,4,250000
6,14115,1,0,1,1,1,143000
7,10084,1,0,2,0,3,307000
8,10382,1,0,2,1,3,200000
9,6120,0,0,2,0,2,129900
10,7420,1,0,1,0,2,118000
11,11200,1,0,1,0,3,129500
12,11924,1,0,3,0,4,345000
13,12968,1,0,1,0,2,144000
14,10652,0,0,2,0,3,279500
15,10920,1,0,1,1,2,157000
16,6120,0,0,1,0,2,132000
17,11241,1,0,1,0,2,149000
18,10791,0,0,2,0,2,90000
19,13695,1,0,1,1,3,159000
20,7560,0,0,1,0,3,139000
21,14215,0,0,3,1,4,325300
22,7449,0,0,1,0,3,139400
23,9742,0,0,2,0,3,230000
24,4224,1,0,1,0,3,129900
25,8246,1,0,1,0,3,154000
26,14230,0,0,2,0,3,256300
27,7200,0,1,1,0,3,134800
28,11478,1,0,2,0,3,306000
29,16321,1,0,1,0,2,207500
30,6324,0,0,1,0,1,68500
31,8500,0,0,1,0,3,40000
32,8544,0,0,1,1,3,149350
33,11049,0,0,2,0,3,179900
34,10552,0,1,1,1,4,165500
35,7313,1,0,2,0,2,277500
36,13418,0,0,3,1,4,309000
37,10859,0,0,1,1,3,145000
38,8532,0,1,1,0,3,153000
39,7922,1,0,1,0,3,109000
40,6040,0,0,2,0,2,82000
41,8658,0,0,2,0,3,160000
42,16905,0,1,1,1,2,170000
43,9180,1,0,1,0,2,144000
44,9200,1,0,1,0,3,130250
45,7945,1,0,1,0,3,141000
46,7658,1,0,2,0,2,319900
47,12822,1,0,1,1,1,239686
48,11096,0,0,2,0,3,249700
49,4456,0,0,2,0,2,113000
50,7742,1,0,1,0,3,127000
51,13869,0,1,2,0,3,177000
52,6240,0,0,1,0,3,114500
53,8472,1,0,1,0,2,110000
54,50271,2,0,0,1,0,385000
55,7134,0,0,1,0,3,130000
56,10175,0,0,2,0,3,180500
57,2645,1,0,2,1,3,172500
58,11645,0,0,2,1,3,196500
59,13682,0,0,3,1,3,438780
60,7200,0,0,1,0,2,124900
61,13072,1,0,1,1,3,158000
62,7200,0,0,1,0,3,101000
63,6442,0,0,2,0,2,202500
